ANSWERCODE,SEX,AGE_10,JOB,Q1,Q2,Q3,Q4,Q5,Q16,Q17
c7b9798,1,2,15,0,3,1,1,5,구체적인 내용이 없다,없다
8cd0c4d,2,5,3,1,3,5,1,4,어린아이들이 스쿨구역에서 사고로 숨진 뉴스를 본적이있어는데 많이안타까웠다  그래서 뭔가대책이 필요하다고 생각되서 지지합니다,변화는 없다
33f9026,2,3,1,0,3,3,3,3,별로다,보통이다
930faff,2,4,4,1,4,3,3,3,좋다고생각한다,없다
d95b62f,2,2,4,1,5,3,3,4,아이들을 위해 좋은것같다,앞으로 더 지켜봐야할것같다
54fdd13,2,3,1,0,6,4,4,4,속도규제처럼 규제나 단속이 병행되야함. 설치만해서는 효과를 장담하기 어려울 것으로 생각.,변화가 없음
240374,2,5,9,1,2,4,2,4,예산이 너무 많다,별로 없음
91a00ec,2,3,4,1,5,5,5,4,꼭 필요한 정책이라고 생각하고 박원순 시장은 추진력이 있는 시장이기 때문에 성공적으로 추진될거라 생각한다,시민의 생활 곳곳을 세심하게 신경쓰고있다는 생각이 들었다
8aa51fa,2,2,13,0,6,5,2,4,괜찮은 공약이라고 생각하지만 시설 개설 보다는 사람들의 주의와 인식이 더 우선이고 중요하다는 생각이 든다. 주의만 해도 사고 수가 줄어 들 것이라는 생각이 든다.,없음.
b7311ac,1,2,13,0,6,4,3,4,잘이뤄줬으면 좋겠다,같다
880ac79,2,2,13,0,3,2,3,4,긍정적,없음
f569719,1,3,4,0,4,4,2,4,혼자 등하교하는 학생들은 교통사고 및 다른 위험에도 노출되어 있음. 다른 위험인 폭행등과 관련해서 꼭 필요한 정책으로 보임,여러 정책을 추진하면서 어떤것이 명확한 정책인지 확인하기 힘들었으나 이전기회에 구체적인 공약을 알게되었음
a89d1f5,2,2,13,1,4,4,3,4,좋다 그러나 확실한효과가 필요함보여주기식은 ×,좀변화가잇다긍정적으로
b443553,2,2,1,0,6,3,3,3,없음,잘 모르겟음
7e17084,2,2,13,0,2,3,1,4,공약 내용은 좋으나 제대로 실행되고 있는지에 대하여 의문,변화가 없다
f99a7f2,2,2,1,0,4,5,3,5,굉장히 중요한 공약이라고 생각합니다.초등학교 주변에 어린이 보호구역이 지정되어 있지만 그것만으론 부족하다고 생각해왔습니다. 어린이 보호구역 표시에도 불구하고 빠른 속도로 지나가는 차들이 여전히 많기 때문입니다. 학교와 가정에서 교육을 하는 것도 중요하지만 어른들의 태도와 확실한 보호구역 조성이 더 우선시되어야한다고 생각합니다.,그 전부터 긍정적으로 생각하고 있었습니다. 앞으로도 좋은 정책 많이 내주시길바랍니다.
